currency_reserves,data,foreign_currency,inter_reserves,monetary_gold,position_imf,sdr_account
464 202,01.09.2013,451 203,509 674,45 472,4 378,8 620
470 205,01.08.2013,456 979,512 834,42 630,4 617,8 609
475 224,01.07.2013,462 122,513 772,38 547,4 548,8 555
473 393,01.06.2013,460 435,518 431,45 039,4 432,8 525
486 350,01.05.2013,473 121,533 218,46 868,4 645,8 584
477 267,01.04.2013,464 126,527 708,50 441,4 614,8 528
475 650,01.03.2013,462 372,526 172,50 522,4 662,8 616
480 195,01.02.2013,466 598,532 155,51 960,4 831,8 767
486 578,01.01.2013,473 110,537 618,51 039,4 727,8 741
476 241,01.12.2012,462 792,528 236,51 995,4 720,8 729
475 260,01.11.2012,461 863,526 766,51 505,4 635,8 762
476 380,01.10.2012,462 970,529 893,53 512,4 639,8 770
464 857,01.09.2012,451 624,514 593,49 736,4 578,8 655
461 865,01.08.2012,448 858,510 543,48 678,4 429,8 578
467 992,01.07.2012,454 907,514 317,46 325,4 456,8 630
465 128,01.06.2012,452 106,510 432,45 304,4 434,8 588
476 458,01.05.2012,463 088,524 370,47 912,4 553,8 818
465 664,01.04.2012,452 646,513 491,47 827,4 209,8 808
463 810,01.03.2012,450 848,513 978,50 168,4 116,8 847
456 550,01.02.2012,443 627,505 391,48 841,4 104,8 820
453 952,01.01.2012,441 162,498 649,44 697,4 061,8 729
462 686,01.12.2011,450 027,510 910,48 224,3 838,8 820
476 967,01.11.2011,464 023,525 557,48 589,3 925,9 019
472 496,01.10.2011,459 753,516 848,44 352,3 864,8 879
496 366,01.09.2011,483 885,545 012,48 645,3 334,9 148
490 264,01.08.2011,477 855,533 905,43 640,3 315,9 095
484 015,01.07.2011,471 942,524 527,40 512,2 974,9 098
480 141,01.06.2011,468 072,521 092,40 950,2 974,9 096
483 229,01.05.2011,471 725,523 950,40 720,2 287,9 217
465 455,01.04.2011,454 223,502 460,37 005,2 221,9 011
458 045,01.03.2011,447 175,493 835,35 790,1 934,8 936
450 766,01.02.2011,439 969,484 158,33 393,1 920,8 876
443 591,01.01.2011,432 948,479 379,35 788,1 893,8 749
448 778,01.12.2010,438 237,483 063,34 285,1 876,8 666
463 767,01.11.2010,452 905,497 082,33 315,1 932,8 930
458 319,01.10.2010,447 567,490 099,31 780,1 913,8 839
447 071,01.09.2010,436 647,476 266,29 195,1 855,8 568
448 043,01.08.2010,437 551,475 307,27 264,1 867,8 625
432 994,01.07.2010,422 778,461 201,28 206,1 818,8 398
428 991,01.06.2010,418 808,456 434,27 443,1 812,8 371
435 565,01.05.2010,425 126,461 169,25 603,1 858,8 582
423 321,01.04.2010,412 834,447 442,24 120,1 866,8 621
413 334,01.03.2010,402 750,436 775,23 441,1 884,8 700
413 514,01.02.2010,402 778,436 267,22 753,1 911,8 826
416 653,01.01.2010,405 825,439 450,22 798,1 927,8 901
424 692,01.12.2009,413 573,447 671,22 979,1 979,9 140
414 028,01.11.2009,403 048,434 435,20 407,1 954,9 026
394 518,01.10.2009,383 578,413 364,18 846,1 947,8 993
391 876,01.09.2009,383 044,409 546,17 670,1 925,6 907
384 875,01.08.2009,383 170,401 908,17 033,1 701,3
395 891,01.07.2009,394 187,412 512,16 621,1 701,3
387 280,01.06.2009,385 738,404 170,16 889,1 539,3
368 348,01.05.2009,367 157,383 788,15 440,1 189,2
368 065,01.04.2009,366 876,383 808,15 743,1 187,2
368 157,01.03.2009,367 151,384 090,15 932,1 004,2
371 426,01.02.2009,370 407,386 892,15 466,1 018,1
411 748,01.01.2009,410 695,426 281,14 533,1 051,1
442 391,01.12.2008,441 373,455 730,13 339,1 018,1
472 005,01.11.2008,471 652,484 590,12 585,353,1
542 839,01.10.2008,542 470,556 813,13 974,369,1
569 123,01.09.2008,568 750,582 212,13 089,372,1
582 679,01.08.2008,582 294,596 566,13 887,384,1
555 182,01.07.2008,554 794,568 966,13 785,387,1
533 109,01.06.2008,532 725,546 035,12 926,384,1
519 758,01.05.2008,519 372,532 474,12 716,384,1
498 890,01.04.2008,498 499,512 584,13 694,389,1
481 011,01.03.2008,480 629,494 932,13 921,381,1
475 072,01.02.2008,474 694,488 368,13 296,377,1
466 750,01.01.2008,466 376,478 762,12 012,374,1
452 162,01.12.2007,451 785,463 528,11 366,376,1
436 007,01.11.2007,435 634,446 961,10 954,372,1
415 264,01.10.2007,414 895,425 378,10 114,368,1
407 111,01.09.2007,406 748,416 040,8 929,363,1
407 495,01.08.2007,407 132,416 167,8 672,362,1
397 398,01.07.2007,397 033,405 840,8 442,358,7
394 749,01.06.2007,394 384,403 207,8 458,357,7
360 410,01.05.2007,360 116,369 117,8 707,287,7
330 334,01.04.2007,330 043,338 830,8 496,285,7
305 869,01.03.2007,305 579,314 534,8 665,283,7
295 562,01.02.2007,295 274,303 886,8 325,281,7
295 567,01.01.2007,295 277,303 732,8 164,283,7
280 970,01.12.2006,280 730,289 042,8 072,233,7
264 956,01.11.2006,264 721,272 543,7 586,228,7
258 705,01.10.2006,258 470,266 197,7 492,228,7
252 184,01.09.2006,251 947,259 862,7 677,230,7
257 859,01.08.2006,257 623,265 699,7 840,229,7
243 174,01.07.2006,242 939,250 561,7 386,228,7
239 271,01.06.2006,239 059,247 343,8 072,205,7
218 521,01.05.2006,218 312,226 413,7 892,202,7
198 676,01.04.2006,198 472,205 881,7 205,198,6
189 050,01.03.2006,188 847,195 931,6 881,197,6
181 401,01.02.2006,181 197,188 451,7 050,198,6
175 892,01.01.2006,175 690,182 240,6 349,196,6
164 666,01.12.2005,164 539,168 396,3 730,121,6
161 242,01.11.2005,161 113,164 971,3 730,123,6
155 831,01.10.2005,155 777,159 560,3 730,48,6
146 026,01.09.2005,145 972,149 754,3 729,48,6
140 896,01.08.2005,140 842,144 624,3 729,48,6
147 777,01.07.2005,147 768,151 578,3 802,3,6
143 628,01.06.2005,143 623,147 360,3 731,3,2
140 524,01.05.2005,140 519,144 255,3 731,3,2
133 651,01.04.2005,133 646,137 381,3 730,3,2
130 426,01.03.2005,130 421,134 153,3 727,3,2
121 199,01.02.2005,121 166,124 927,3 728,3,30
120 809,01.01.2005,120 805,124 541,3 732,3,1
113 703,01.12.2004,113 699,117 434,3 731,3,1
103 607,01.11.2004,103 603,107 338,3 730,3,1
91 329,01.10.2004,91 326,95 082,3 754,3,0
84 948,01.09.2004,84 945,88 702,3 754,3,0
84 857,01.08.2004,84 825,88 610,3 753,2,30
84 462,01.07.2004,84 460,88 226,3 763,2,0
81 849,01.06.2004,81 847,85 612,3 763,2,0
78 904,01.05.2004,78 877,82 664,3 760,2,25
79 639,01.04.2004,79 636,83 398,3 760,2,1
82 558,01.03.2004,82 555,86 318,3 760,2,1
80 226,01.02.2004,80 224,83 990,3 763,2,0
73 175,01.01.2004,73 172,76 938,3 763,2,1
64 415,01.12.2003,64 412,68 169,3 754,2,1
61 183,01.11.2003,61 152,64 928,3 744,2,29
58 330,01.10.2003,58 324,62 073,3 743,2,4
59 011,01.09.2003,59 005,62 752,3 741,2,4
60 710,01.08.2003,60 672,64 454,3 744,2,36
60 691,01.07.2003,60 681,64 430,3 739,2,8
61 144,01.06.2003,61 141,64 882,3 738,2,2
56 111,01.05.2003,56 072,59 847,3 736,2,37
51 790,01.04.2003,51 788,55 525,3 735,2,0
49 326,01.03.2003,49 324,53 061,3 735,2,0
45 534,01.02.2003,45 531,49 274,3 740,2,1
44 054,01.01.2003,44 051,47 793,3 739,2,1
44 470,01.12.2002,44 467,48 205,3 735,2,1
43 034,01.11.2002,43 025,46 767,3 733,2,8
41 887,01.10.2002,41 878,45 619,3 732,2,8
40 596,01.09.2002,40 587,44 327,3 731,2,8
39 564,01.08.2002,39 554,43 294,3 731,2,8
39 848,01.07.2002,39 838,43 579,3 731,2,8
38 496,01.06.2002,38 489,42 227,3 731,1,5
35 024,01.05.2002,35 019,39 155,4 131,1,4
33 179,01.04.2002,33 174,37 295,4 116,1,4
32 768,01.03.2002,32 763,36 860,4 092,1,4
32 317,01.02.2002,32 312,36 408,4 091,1,3
32 542,01.01.2002,32 538,36 622,4 080,1,3
33 277,01.12.2001,33 273,37 288,4 011,1,3
34 016,01.11.2001,34 012,38 002,3 986,1,3
34 044,01.10.2001,34 040,37 957,3 913,1,3
33 686,01.09.2001,33 682,37 493,3 807,1,3
32 694,01.08.2001,32 677,36 502,3 807,1,17
31 251,01.07.2001,31 234,35 053,3 801,1,16
29 749,01.06.2001,29 742,33 550,3 801,1,5
27 868,01.05.2001,27 864,31 650,3 782,1,3
25 942,01.04.2001,25 938,29 709,3 767,1,3
24 591,01.03.2001,24 586,28 345,3 754,1,3
25 888,01.02.2001,25 887,29 638,3 749,1,1
24 264,01.01.2001,24 263,27 972,3 708,1,1
24 035,01.12.2000,24 033,27 667,3 632,1,1
22 290,01.11.2000,22 288,25 880,3 590,1,1
21 474,01.10.2000,21 472,25 007,3 533,1,1
20 289,01.09.2000,20 287,23 731,3 442,1,1
19 955,01.08.2000,19 954,23 302,3 347,1,0
17 685,01.07.2000,17 682,20 996,3 312,1,2
15 878,01.06.2000,15 876,19 570,3 692,1,1
13 410,01.05.2000,13 408,17 091,3 682,1,0
11 456,01.04.2000,11 455,15 532,4 076,1,0
9 606,01.03.2000,9 605,13 657,4 051,1,0
8 912,01.02.2000,8 911,12 948,4 035,1,1
8 457,01.01.2000,8 455,12 456,3 998,1,1
7 599,01.12.1999,7 597,11 504,3 906,1,1
7 081,01.11.1999,7 080,11 752,4 671,1,0
6 634,01.10.1999,6 632,11 212,4 579,1,0
6 824,01.09.1999,6 663,11 231,4 407,1,160
7 827,01.08.1999,7 184,11 921,4 094,1,642
8 189,01.07.1999,8 187,12 152,3 964,1,1
8 034,01.06.1999,8 032,11 937,3 903,1,0
7 074,01.05.1999,7 011,11 168,4 094,1,62
6 679,01.04.1999,6 676,10 765,4 086,1,1
7 284,01.03.1999,7 281,11 437,4 153,1,2
7 078,01.02.1999,7 014,11 621,4 543,1,63
7 801,01.01.1999,7 800,12 223,4 422,1,0
8 175,01.12.1998,8 172,12 480,4 306,1,1
9 656,01.11.1998,9 590,13 572,3 916,1,64
8 840,01.10.1998,8 839,12 709,3 869,1,0
8 198,01.09.1998,8 196,12 459,4 262,1,0
13 805,01.08.1998,13 791,18 409,4 604,1,13
11 161,01.07.1998,10 906,16 169,5 008,1,253
9 625,01.06.1998,9 621,14 627,5 002,1,3
10 957,01.05.1998,10 952,15 953,4 996,1,3
11 910,01.04.1998,11 906,16 859,4 948,1,3
10 212,01.03.1998,10 208,15 034,4 822,1,3
10 480,01.02.1998,10 477,15 375,4 895,1,1
12 895,01.01.1998,12 771,17 784,4 889,1,122
12 201,01.12.1997,12 199,16 810,4 608,1,1
18 448,01.11.1997,18 443,22 916,4 468,1,3
18 737,01.10.1997,18 733,23 105,4 368,1,3
19 604,01.09.1997,19 603,23 920,4 316,1,0
20 186,01.08.1997,20 180,24 456,4 270,1,5
20 396,01.07.1997,20 389,24 549,4 153,1,5
15 884,01.06.1997,15 798,20 016,4 132,1,85
14 068,01.05.1997,14 066,18 184,4 117,1,1
12 429,01.04.1997,12 427,16 495,4 066,1,1
11 127,01.03.1997,11 117,15 208,4 081,1,9
9 930,01.02.1997,9 924,13 993,4 064,1,4
11 276,01.01.1997,11 271,15 324,4 047,1,5
11 653,01.12.1996,11 642,15 520,3 867,1,9
10 515,01.11.1996,10 329,14 288,3 773,1,185
11 399,01.10.1996,11 392,15 075,3 677,1,5
12 089,01.09.1996,11 994,15 507,3 418,1,93
12 497,01.08.1996,12 355,15 671,3 174,1,141
12 792,01.07.1996,12 652,15 877,3 085,1,139
12 004,01.06.1996,11 957,15 073,3 069,1,46
14 269,01.05.1996,14 064,17 220,2 951,1,204
16 331,01.04.1996,16 074,19 248,2 917,1,256
12 689,01.03.1996,12 277,15 592,2 903,1,410
11 898,01.02.1996,11 782,14 741,2 843,1,114
14 383,01.01.1996,14 265,17 207,2 824,1,117
12 342,01.12.1995,12 340,15 017,2 676,1,0
12 703,01.11.1995,12 613,15 259,2 556,1,89
11 154,01.10.1995,11 022,13 622,2 467,1,132
10 916,01.09.1995,10 903,13 333,2 417,1,12
10 321,01.08.1995,10 233,12 671,2 351,1,87
10 085,01.07.1995,9 857,12 413,2 327,1,227
8 638,01.06.1995,8 374,11 050,2 412,1,263
5 823,01.05.1995,5 508,8 222,2 399,1,314
4 148,01.04.1995,4 145,6 552,2 404,1,2
3 110,01.03.1995,3 107,5 546,2 436,1,2
2 093,01.02.1995,2 028,4 627,2 534,1,63
3 980,01.01.1995,3 976,6 506,2 525,1,3
4 161,01.10.1994,3 834,6 745,2 584,1,326
8 048,01.07.1994,7 159,10 511,2 463,2,888
4 602,01.04.1994,4 599,7 642,3 040,1,2
5 835,01.01.1994,5 829,8 894,3 059,1,5
6 157,01.10.1993,6 117,9 112,2 955,1,38
4 396,01.07.1993,4 394,7 141,2 745,1,1
2 798,01.04.1993,2 796,5 378,2 580,1,0
1 954,01.01.1993,1 953,4 532,2 578,1,1
